[0.979s][info][gc,heap      ] GC(5) Survivor regions: 13->9(13)
[0.979s][info][gc,heap      ] GC(5) Old regions: 9->15
[0.979s][info][gc,heap      ] GC(5) Humongous regions: 6->6
[0.979s][info][gc,metaspace ] GC(5) Metaspace: 7311K(7680K)->7311K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[0.979s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 116M->29M(2048M) 3.232ms
[0.979s][info][gc,cpu       ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[1.209s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.209s][info][gc,task      ] GC(6) Using 13 workers of 13 for evacuation
[1.213s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[1.213s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 4.2ms
[1.213s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[1.213s][info][gc,phases    ] GC(6)   Other: 0.2ms
[1.213s][info][gc,heap      ] GC(6) Eden regions: 256->0(377)
[1.213s][info][gc,heap      ] GC(6) Survivor regions: 9->14(34)
[1.213s][info][gc,heap      ] GC(6) Old regions: 15->15
[1.213s][info][gc,heap      ] GC(6) Humongous regions: 6->6
[1.214s][info][gc,metaspace ] GC(6) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[1.214s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 285M->34M(2048M) 4.741ms
[1.214s][info][gc,cpu       ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[1.572s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.572s][info][gc,task      ] GC(7) Using 13 workers of 13 for evacuation
[1.578s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[1.578s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 5.6ms
[1.578s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.3ms
[1.578s][info][gc,phases    ] GC(7)   Other: 0.2ms
[1.578s][info][gc,heap      ] GC(7) Eden regions: 370->0(1207)
[1.578s][info][gc,heap      ] GC(7) Survivor regions: 14->21(48)
[1.578s][info][gc,heap      ] GC(7) Old regions: 15->15
[1.578s][info][gc,heap      ] GC(7) Humongous regions: 27->11
[1.579s][info][gc,metaspace ] GC(7) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[1.579s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 425M->46M(2048M) 6.195ms
[1.579s][info][gc,cpu       ] GC(7) User=0.03s Sys=0.17s Real=0.01s
[1.871s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.871s][info][gc,task      ] GC(8) Using 13 workers of 13 for evacuation
[1.877s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[1.877s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 5.6ms
[1.877s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.3ms
[1.877s][info][gc,phases    ] GC(8)   Other: 0.2ms
[1.877s][info][gc,heap      ] GC(8) Eden regions: 334->0(1201)
[1.877s][info][gc,heap      ] GC(8) Survivor regions: 21->27(45)
[1.877s][info][gc,heap      ] GC(8) Old regions: 15->15
