[0.521s][info][gc,heap      ] GC(5) Survivor regions: 23->26(109)
[0.521s][info][gc,heap      ] GC(5) Old regions: 10->10
[0.521s][info][gc,heap      ] GC(5) Humongous regions: 5->5
[0.521s][info][gc,metaspace ] GC(5) Metaspace: 8165K(8576K)->8165K(8576K) NonClass: 7437K(7680K)->7437K(7680K) Class: 727K(896K)->727K(896K)
[0.521s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 886M->39M(2048M) 3.454ms
[0.521s][info][gc,cpu       ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[0.555s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.555s][info][gc,task      ] GC(6) Using 13 workers of 13 for evacuation
[0.558s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.558s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 3.0ms
[0.558s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[0.558s][info][gc,phases    ] GC(6)   Other: 0.2ms
[0.558s][info][gc,heap      ] GC(6) Eden regions: 884->0(1205)
[0.558s][info][gc,heap      ] GC(6) Survivor regions: 26->23(114)
[0.558s][info][gc,heap      ] GC(6) Old regions: 10->10
[0.558s][info][gc,heap      ] GC(6) Humongous regions: 6->5
[0.558s][info][gc,metaspace ] GC(6) Metaspace: 8175K(8576K)->8175K(8576K) NonClass: 7447K(7680K)->7447K(7680K) Class: 727K(896K)->727K(896K)
[0.558s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 924M->37M(2048M) 3.540ms
[0.558s][info][gc,cpu       ] GC(6) User=0.03s Sys=0.17s Real=0.00s
[0.641s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[0.641s][info][gc,task      ] GC(7) Using 13 workers of 13 for evacuation
[0.646s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[0.646s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 3.9ms
[0.646s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.8ms
[0.646s][info][gc,phases    ] GC(7)   Other: 0.3ms
[0.646s][info][gc,heap      ] GC(7) Eden regions: 1205->0(1193)
[0.646s][info][gc,heap      ] GC(7) Survivor regions: 23->35(154)
[0.646s][info][gc,heap      ] GC(7) Old regions: 10->10
[0.646s][info][gc,heap      ] GC(7) Humongous regions: 14->6
[0.646s][info][gc,metaspace ] GC(7) Metaspace: 8177K(8576K)->8177K(8576K) NonClass: 7449K(7680K)->7449K(7680K) Class: 727K(896K)->727K(896K)
[0.646s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 1251M->50M(2048M) 5.247ms
[0.646s][info][gc,cpu       ] GC(7) User=0.00s Sys=0.00s Real=0.01s
[0.718s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[0.718s][info][gc,task      ] GC(8) Using 13 workers of 13 for evacuation
[0.722s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[0.722s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 3.0ms
[0.722s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.4ms
[0.722s][info][gc,phases    ] GC(8)   Other: 0.2ms
[0.722s][info][gc,heap      ] GC(8) Eden regions: 1193->0(1182)
[0.722s][info][gc,heap      ] GC(8) Survivor regions: 35->46(154)
[0.722s][info][gc,heap      ] GC(8) Old regions: 10->10
[0.722s][info][gc,heap      ] GC(8) Humongous regions: 6->6
[0.722s][info][gc,metaspace ] GC(8) Metaspace: 8178K(8576K)->8178K(8576K) NonClass: 7451K(7680K)->7451K(7680K) Class: 727K(896K)->727K(896K)
[0.722s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 1243M->61M(2048M) 3.689ms
[0.722s][info][gc,cpu       ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[0.765s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[0.765s][info][gc,task      ] GC(9) Using 13 workers of 13 for evacuation
[0.769s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[0.769s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 3.2ms
[0.769s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.4ms
[0.769s][info][gc,phases    ] GC(9)   Other: 0.2ms
[0.769s][info][gc,heap      ] GC(9) Eden regions: 1182->0(1181)
[0.769s][info][gc,heap      ] GC(9) Survivor regions: 46->47(154)
[0.769s][info][gc,heap      ] GC(9) Old regions: 10->10
[0.769s][info][gc,heap      ] GC(9) Humongous regions: 6->5
[0.769s][info][gc,metaspace ] GC(9) Metaspace: 8181K(8576K)->8181K(8576K) NonClass: 7453K(7680K)->7453K(7680K) Class: 727K(896K)->727K(896K)
[0.769s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 1243M->61M(2048M) 3.926ms
[0.769s][info][gc,cpu       ] GC(9) User=0.00s Sys=0.00s Real=0.00s
[0.812s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[0.812s][info][gc,task      ] GC(10) Using 13 workers of 13 for evacuation
[0.815s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[0.815s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 3.1ms
[0.815s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.4ms
[0.815s][info][gc,phases    ] GC(10)   Other: 0.2ms
[0.815s][info][gc,heap      ] GC(10) Eden regions: 1181->0(1178)
[0.815s][info][gc,heap      ] GC(10) Survivor regions: 47->50(154)
[0.815s][info][gc,heap      ] GC(10) Old regions: 10->10
[0.815s][info][gc,heap      ] GC(10) Humongous regions: 8->4
[0.815s][info][gc,metaspace ] GC(10) Metaspace: 8185K(8576K)->8185K(8576K) NonClass: 7458K(7680K)->7458K(7680K) Class: 727K(896K)->727K(896K)
[0.815s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1245M->63M(2048M) 3.831ms
[0.816s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.00s
[0.862s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[0.862s][info][gc,task      ] GC(11) Using 13 workers of 13 for evacuation
[0.866s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[0.866s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 3.6ms
[0.866s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.4ms
[0.866s][info][gc,phases    ] GC(11)   Other: 0.1ms
[0.866s][info][gc,heap      ] GC(11) Eden regions: 1178->0(1170)
