[0.750s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[0.750s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 4.4ms
[0.750s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.4ms
[0.750s][info][gc,phases   ] GC(4)   Other: 0.4ms
[0.750s][info][gc,heap     ] GC(4) Eden regions: 355->0(598)
[0.750s][info][gc,heap     ] GC(4) Survivor regions: 32->16(49)
[0.750s][info][gc,heap     ] GC(4) Old regions: 5->26
[0.750s][info][gc,heap     ] GC(4) Humongous regions: 10->4
[0.750s][info][gc,metaspace] GC(4) Metaspace: 1740K(1856K)->1740K(1856K) NonClass: 1599K(1664K)->1599K(1664K) Class: 140K(192K)->140K(192K)
[0.750s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 401M->45M(1024M) 5.789ms
[0.750s][info][gc,cpu      ] GC(4) User=0.00s Sys=0.00s Real=0.01s
[0.815s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.815s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[0.819s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[0.819s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[0.819s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 3.0ms
[0.819s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.5ms
[0.819s][info][gc,phases   ] GC(5)   Other: 0.1ms
[0.819s][info][gc,heap     ] GC(5) Eden regions: 598->0(594)
[0.819s][info][gc,heap     ] GC(5) Survivor regions: 16->20(77)
[0.819s][info][gc,heap     ] GC(5) Old regions: 26->26
[0.819s][info][gc,heap     ] GC(5) Humongous regions: 7->5
[0.819s][info][gc,metaspace] GC(5) Metaspace: 1742K(1856K)->1742K(1856K) NonClass: 1601K(1664K)->1601K(1664K) Class: 140K(192K)->140K(192K)
[0.819s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 646M->50M(1024M) 4.355ms
[0.819s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.00s Real=0.01s
[0.886s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.887s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[0.891s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[0.891s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[0.891s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 3.6ms
[0.891s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.6ms
[0.891s][info][gc,phases   ] GC(6)   Other: 0.1ms
[0.891s][info][gc,heap     ] GC(6) Eden regions: 594->0(588)
[0.891s][info][gc,heap     ] GC(6) Survivor regions: 20->26(77)
[0.891s][info][gc,heap     ] GC(6) Old regions: 26->26
[0.892s][info][gc,heap     ] GC(6) Humongous regions: 5->5
[0.892s][info][gc,metaspace] GC(6) Metaspace: 1742K(1856K)->1742K(1856K) NonClass: 1601K(1664K)->1601K(1664K) Class: 140K(192K)->140K(192K)
[0.892s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 644M->56M(1024M) 5.150ms
[0.892s][info][gc,cpu      ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[0.959s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[0.959s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[0.965s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[0.965s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[0.965s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 4.4ms
[0.965s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.5ms
[0.965s][info][gc,phases   ] GC(7)   Other: 0.1ms
[0.965s][info][gc,heap     ] GC(7) Eden regions: 588->0(583)
[0.965s][info][gc,heap     ] GC(7) Survivor regions: 26->31(77)
[0.965s][info][gc,heap     ] GC(7) Old regions: 26->26
[0.965s][info][gc,heap     ] GC(7) Humongous regions: 6->6
[0.965s][info][gc,metaspace] GC(7) Metaspace: 1745K(1856K)->1745K(1856K) NonClass: 1604K(1664K)->1604K(1664K) Class: 140K(192K)->140K(192K)
[0.965s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 645M->62M(1024M) 5.682ms
[0.965s][info][gc,cpu      ] GC(7) User=0.02s Sys=0.00s Real=0.01s
[1.023s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.023s][info][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[1.029s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[1.029s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[1.029s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 4.9ms
[1.029s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.6ms
[1.029s][info][gc,phases   ] GC(8)   Other: 0.1ms
[1.029s][info][gc,heap     ] GC(8) Eden regions: 583->0(578)
[1.029s][info][gc,heap     ] GC(8) Survivor regions: 31->36(77)
[1.029s][info][gc,heap     ] GC(8) Old regions: 26->26
[1.029s][info][gc,heap     ] GC(8) Humongous regions: 6->6
[1.029s][info][gc,metaspace] GC(8) Metaspace: 1753K(1856K)->1753K(1856K) NonClass: 1612K(1664K)->1612K(1664K) Class: 140K(192K)->140K(192K)
[1.029s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 645M->67M(1024M) 6.352ms
[1.029s][info][gc,cpu      ] GC(8) User=0.00s Sys=0.00s Real=0.01s
[1.115s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[1.115s][info][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[1.122s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[1.122s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[1.122s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 6.7ms
[1.122s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.6ms
[1.122s][info][gc,phases   ] GC(9)   Other: 0.1ms
[1.122s][info][gc,heap     ] GC(9) Eden regions: 578->0(567)
[1.122s][info][gc,heap     ] GC(9) Survivor regions: 36->47(77)
[1.123s][info][gc,heap     ] GC(9) Old regions: 26->26
[1.123s][info][gc,heap     ] GC(9) Humongous regions: 6->6
[1.123s][info][gc,metaspace] GC(9) Metaspace: 1754K(1856K)->1754K(1856K) NonClass: 1613K(1664K)->1613K(1664K) Class: 140K(192K)->140K(192K)
[1.123s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 645M->78M(1024M) 7.986ms
[1.123s][info][gc,cpu      ] GC(9) User=0.03s Sys=0.03s Real=0.01s
[1.180s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.180s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[1.188s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[1.188s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[1.188s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 7.0ms
[1.188s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.6ms
[1.188s][info][gc,phases   ] GC(10)   Other: 0.1ms
[1.188s][info][gc,heap     ] GC(10) Eden regions: 567->0(569)
[1.188s][info][gc,heap     ] GC(10) Survivor regions: 47->45(77)
[1.188s][info][gc,heap     ] GC(10) Old regions: 26->33
[1.188s][info][gc,heap     ] GC(10) Humongous regions: 8->6
[1.188s][info][gc,metaspace] GC(10) Metaspace: 1755K(1856K)->1755K(1856K) NonClass: 1614K(1664K)->1614K(1664K) Class: 140K(192K)->140K(192K)
