[0.568s][info][gc,heap      ] GC(5) Survivor regions: 15->18(18)
[0.568s][info][gc,heap      ] GC(5) Old regions: 81->102
[0.568s][info][gc,heap      ] GC(5) Humongous regions: 19->8
[0.568s][info][gc,metaspace ] GC(5) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[0.568s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 239M->127M(2048M) 3.149ms
[0.568s][info][gc,cpu       ] GC(5) User=0.06s Sys=0.14s Real=0.00s
[0.625s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.625s][info][gc,task      ] GC(6) Using 13 workers of 13 for evacuation
[0.629s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.629s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 3.7ms
[0.629s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[0.629s][info][gc,phases    ] GC(6)   Other: 0.2ms
[0.629s][info][gc,heap      ] GC(6) Eden regions: 155->0(195)
[0.629s][info][gc,heap      ] GC(6) Survivor regions: 18->22(22)
[0.629s][info][gc,heap      ] GC(6) Old regions: 102->127
[0.629s][info][gc,heap      ] GC(6) Humongous regions: 22->10
[0.629s][info][gc,metaspace ] GC(6) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[0.629s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 296M->158M(2048M) 4.146ms
[0.629s][info][gc,cpu       ] GC(6) User=0.03s Sys=0.12s Real=0.00s
[0.704s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[0.704s][info][gc,task      ] GC(7) Using 13 workers of 13 for evacuation
[0.709s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[0.709s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 4.1ms
[0.709s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.2ms
[0.709s][info][gc,phases    ] GC(7)   Other: 0.1ms
[0.709s][info][gc,heap      ] GC(7) Eden regions: 195->0(245)
[0.709s][info][gc,heap      ] GC(7) Survivor regions: 22->28(28)
[0.709s][info][gc,heap      ] GC(7) Old regions: 127->159
[0.709s][info][gc,heap      ] GC(7) Humongous regions: 32->13
[0.709s][info][gc,metaspace ] GC(7) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[0.709s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 375M->199M(2048M) 4.556ms
[0.709s][info][gc,cpu       ] GC(7) User=0.12s Sys=0.08s Real=0.00s
[0.796s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[0.796s][info][gc,task      ] GC(8) Using 13 workers of 13 for evacuation
[0.801s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[0.801s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 5.2ms
[0.801s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.2ms
[0.801s][info][gc,phases    ] GC(8)   Other: 0.2ms
[0.801s][info][gc,heap      ] GC(8) Eden regions: 245->0(305)
[0.801s][info][gc,heap      ] GC(8) Survivor regions: 28->35(35)
[0.801s][info][gc,heap      ] GC(8) Old regions: 159->201
[0.801s][info][gc,heap      ] GC(8) Humongous regions: 28->13
[0.801s][info][gc,metaspace ] GC(8) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[0.801s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 459M->248M(2048M) 5.806ms
[0.801s][info][gc,cpu       ] GC(8) User=0.08s Sys=0.12s Real=0.01s
[0.914s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[0.914s][info][gc,task      ] GC(9) Using 13 workers of 13 for evacuation
[0.921s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[0.922s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 6.9ms
[0.922s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.2ms
[0.922s][info][gc,phases    ] GC(9)   Other: 0.2ms
[0.922s][info][gc,heap      ] GC(9) Eden regions: 305->0(380)
[0.922s][info][gc,heap      ] GC(9) Survivor regions: 35->43(43)
[0.922s][info][gc,heap      ] GC(9) Old regions: 201->253
[0.922s][info][gc,heap      ] GC(9) Humongous regions: 54->17
[0.922s][info][gc,metaspace ] GC(9) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[0.922s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 594M->312M(2048M) 7.479ms
[0.922s][info][gc,cpu       ] GC(9) User=0.00s Sys=0.00s Real=0.01s
[1.056s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.056s][info][gc,task      ] GC(10) Using 13 workers of 13 for evacuation
[1.064s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[1.064s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 7.8ms
[1.064s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.2ms
[1.064s][info][gc,phases    ] GC(10)   Other: 0.2ms
[1.064s][info][gc,heap      ] GC(10) Eden regions: 380->0(624)
[1.064s][info][gc,heap      ] GC(10) Survivor regions: 43->53(53)
[1.064s][info][gc,heap      ] GC(10) Old regions: 253->317
[1.064s][info][gc,heap      ] GC(10) Humongous regions: 45->19
[1.064s][info][gc,metaspace ] GC(10) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[1.064s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 720M->388M(2048M) 8.314ms
[1.064s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.01s
[1.304s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
