[0.536s][info][gc,heap      ] GC(5) Survivor regions: 16->18(18)
[0.536s][info][gc,heap      ] GC(5) Old regions: 78->100
[0.536s][info][gc,heap      ] GC(5) Humongous regions: 18->8
[0.536s][info][gc,metaspace ] GC(5) Metaspace: 6842K(7168K)->6842K(7168K) NonClass: 6254K(6400K)->6254K(6400K) Class: 587K(768K)->587K(768K)
[0.536s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 238M->125M(2048M) 3.079ms
[0.536s][info][gc,cpu       ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[0.591s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.591s][info][gc,task      ] GC(6) Using 13 workers of 13 for evacuation
[0.595s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.595s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 3.2ms
[0.595s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.1ms
[0.595s][info][gc,phases    ] GC(6)   Other: 0.1ms
[0.595s][info][gc,heap      ] GC(6) Eden regions: 156->0(196)
[0.595s][info][gc,heap      ] GC(6) Survivor regions: 18->22(22)
[0.595s][info][gc,heap      ] GC(6) Old regions: 100->127
[0.595s][info][gc,heap      ] GC(6) Humongous regions: 25->11
[0.595s][info][gc,metaspace ] GC(6) Metaspace: 6842K(7168K)->6842K(7168K) NonClass: 6254K(6400K)->6254K(6400K) Class: 587K(768K)->587K(768K)
[0.595s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 298M->159M(2048M) 3.596ms
[0.595s][info][gc,cpu       ] GC(6) User=0.09s Sys=0.11s Real=0.00s
[0.664s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[0.664s][info][gc,task      ] GC(7) Using 13 workers of 13 for evacuation
[0.669s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[0.669s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 4.2ms
[0.669s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.2ms
[0.669s][info][gc,phases    ] GC(7)   Other: 0.2ms
[0.669s][info][gc,heap      ] GC(7) Eden regions: 196->0(246)
[0.669s][info][gc,heap      ] GC(7) Survivor regions: 22->28(28)
[0.669s][info][gc,heap      ] GC(7) Old regions: 127->161
[0.669s][info][gc,heap      ] GC(7) Humongous regions: 30->13
[0.669s][info][gc,metaspace ] GC(7) Metaspace: 6842K(7168K)->6842K(7168K) NonClass: 6254K(6400K)->6254K(6400K) Class: 587K(768K)->587K(768K)
[0.669s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 374M->201M(2048M) 4.568ms
[0.669s][info][gc,cpu       ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[0.752s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[0.752s][info][gc,task      ] GC(8) Using 13 workers of 13 for evacuation
[0.758s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[0.758s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 4.9ms
[0.758s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.2ms
[0.758s][info][gc,phases    ] GC(8)   Other: 0.2ms
[0.758s][info][gc,heap      ] GC(8) Eden regions: 246->0(308)
[0.758s][info][gc,heap      ] GC(8) Survivor regions: 28->35(35)
[0.758s][info][gc,heap      ] GC(8) Old regions: 161->202
[0.758s][info][gc,heap      ] GC(8) Humongous regions: 28->13
[0.758s][info][gc,metaspace ] GC(8) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[0.758s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 462M->249M(2048M) 5.348ms
[0.758s][info][gc,cpu       ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[0.869s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[0.869s][info][gc,task      ] GC(9) Using 13 workers of 13 for evacuation
[0.876s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[0.876s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 6.6ms
[0.876s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.3ms
[0.876s][info][gc,phases    ] GC(9)   Other: 0.1ms
[0.876s][info][gc,heap      ] GC(9) Eden regions: 308->0(383)
[0.876s][info][gc,heap      ] GC(9) Survivor regions: 35->43(43)
[0.876s][info][gc,heap      ] GC(9) Old regions: 202->252
[0.876s][info][gc,heap      ] GC(9) Humongous regions: 55->17
[0.876s][info][gc,metaspace ] GC(9) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[0.876s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 599M->311M(2048M) 7.151ms
[0.876s][info][gc,cpu       ] GC(9) User=0.11s Sys=0.06s Real=0.01s
[1.005s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.005s][info][gc,task      ] GC(10) Using 13 workers of 13 for evacuation
[1.013s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[1.013s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 8.2ms
[1.013s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.3ms
[1.013s][info][gc,phases    ] GC(10)   Other: 0.1ms
[1.013s][info][gc,heap      ] GC(10) Eden regions: 383->0(538)
[1.013s][info][gc,heap      ] GC(10) Survivor regions: 43->54(54)
[1.013s][info][gc,heap      ] GC(10) Old regions: 252->318
[1.013s][info][gc,heap      ] GC(10) Humongous regions: 45->20
[1.013s][info][gc,metaspace ] GC(10) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[1.013s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 722M->391M(2048M) 8.766ms
[1.013s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.01s
[1.209s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[1.209s][info][gc,task      ] GC(11) Using 13 workers of 13 for evacuation
[1.221s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[1.221s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 11.7ms
[1.221s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.3ms
[1.221s][info][gc,phases    ] GC(11)   Other: 0.2ms
[1.221s][info][gc,heap      ] GC(11) Eden regions: 538->0(622)
[1.221s][info][gc,heap      ] GC(11) Survivor regions: 54->74(74)
[1.221s][info][gc,heap      ] GC(11) Old regions: 318->399
[1.221s][info][gc,heap      ] GC(11) Humongous regions: 70->26
[1.221s][info][gc,metaspace ] GC(11) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[1.221s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 979M->498M(2048M) 12.314ms
[1.221s][info][gc,cpu       ] GC(11) User=0.05s Sys=0.16s Real=0.01s
[1.433s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[1.433s][info][gc,task      ] GC(12) Using 13 workers of 13 for evacuation
[1.448s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[1.448s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 13.6ms
[1.448s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.3ms
[1.448s][info][gc,phases    ] GC(12)   Other: 0.2ms
[1.448s][info][gc,heap      ] GC(12) Eden regions: 622->0(752)
[1.448s][info][gc,heap      ] GC(12) Survivor regions: 74->87(87)
[1.448s][info][gc,heap      ] GC(12) Old regions: 399->507
[1.448s][info][gc,heap      ] GC(12) Humongous regions: 73->32
[1.448s][info][gc,metaspace ] GC(12) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[1.448s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1167M->625M(2048M) 14.254ms
[1.448s][info][gc,cpu       ] GC(12) User=0.09s Sys=0.11s Real=0.01s
[1.700s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[1.700s][info][gc,task      ] GC(13) Using 13 workers of 13 for evacuation
[1.719s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[1.719s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 17.3ms
[1.719s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 2.0ms
[1.719s][info][gc,phases    ] GC(13)   Other: 0.2ms
[1.719s][info][gc,heap      ] GC(13) Eden regions: 752->0(777)
