[0.854s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.3ms
[0.854s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[0.854s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 5.2ms
[0.854s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.7ms
[0.854s][info][gc,phases   ] GC(4)   Other: 0.1ms
[0.854s][info][gc,heap     ] GC(4) Eden regions: 58->0(96)
[0.854s][info][gc,heap     ] GC(4) Survivor regions: 7->9(9)
[0.854s][info][gc,heap     ] GC(4) Old regions: 30->39
[0.854s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[0.854s][info][gc,metaspace] GC(4) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[0.854s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 188M->95M(2048M) 6.631ms
[0.854s][info][gc,cpu      ] GC(4) User=0.02s Sys=0.00s Real=0.01s
[0.992s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.992s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[1.001s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.3ms
[1.001s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[1.001s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 8.0ms
[1.001s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.6ms
[1.001s][info][gc,phases   ] GC(5)   Other: 0.1ms
[1.001s][info][gc,heap     ] GC(5) Eden regions: 96->0(93)
[1.001s][info][gc,heap     ] GC(5) Survivor regions: 9->14(14)
[1.001s][info][gc,heap     ] GC(5) Old regions: 39->53
[1.001s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[1.001s][info][gc,metaspace] GC(5) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.001s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 287M->132M(2048M) 9.382ms
[1.001s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.00s Real=0.01s
[1.111s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.111s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[1.121s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.3ms
[1.121s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[1.121s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 8.7ms
[1.121s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.7ms
[1.121s][info][gc,phases   ] GC(6)   Other: 0.1ms
[1.121s][info][gc,heap     ] GC(6) Eden regions: 93->0(108)
[1.121s][info][gc,heap     ] GC(6) Survivor regions: 14->14(14)
[1.121s][info][gc,heap     ] GC(6) Old regions: 53->71
[1.121s][info][gc,heap     ] GC(6) Humongous regions: 1->0
[1.121s][info][gc,metaspace] GC(6) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.121s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 320M->169M(2048M) 10.243ms
[1.121s][info][gc,cpu      ] GC(6) User=0.05s Sys=0.00s Real=0.01s
[1.248s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.248s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[1.259s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.4ms
[1.259s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[1.259s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 10.1ms
[1.259s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.7ms
[1.259s][info][gc,phases   ] GC(7)   Other: 0.1ms
[1.259s][info][gc,heap     ] GC(7) Eden regions: 108->0(142)
[1.259s][info][gc,heap     ] GC(7) Survivor regions: 14->16(16)
[1.259s][info][gc,heap     ] GC(7) Old regions: 71->90
[1.259s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[1.259s][info][gc,metaspace] GC(7) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.259s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 385M->211M(2048M) 11.692ms
[1.259s][info][gc,cpu      ] GC(7) User=0.00s Sys=0.02s Real=0.01s
[1.435s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.435s][info][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[1.449s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.3ms
[1.449s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.2ms
[1.449s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 12.4ms
[1.449s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.7ms
[1.449s][info][gc,phases   ] GC(8)   Other: 0.1ms
[1.449s][info][gc,heap     ] GC(8) Eden regions: 142->0(180)
[1.449s][info][gc,heap     ] GC(8) Survivor regions: 16->20(20)
[1.449s][info][gc,heap     ] GC(8) Old regions: 90->114
[1.449s][info][gc,heap     ] GC(8) Humongous regions: 1->0
[1.449s][info][gc,metaspace] GC(8) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.449s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 497M->266M(2048M) 13.945ms
[1.449s][info][gc,cpu      ] GC(8) User=0.00s Sys=0.02s Real=0.01s
[1.667s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[1.667s][info][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[1.685s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.3ms
[1.685s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[1.685s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 15.9ms
[1.685s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.9ms
[1.685s][info][gc,phases   ] GC(9)   Other: 0.1ms
[1.685s][info][gc,heap     ] GC(9) Eden regions: 180->0(215)
[1.685s][info][gc,heap     ] GC(9) Survivor regions: 20->25(25)
[1.685s][info][gc,heap     ] GC(9) Old regions: 114->146
[1.685s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[1.685s][info][gc,metaspace] GC(9) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.685s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 626M->340M(2048M) 17.584ms
[1.685s][info][gc,cpu      ] GC(9) User=0.00s Sys=0.02s Real=0.02s
[1.948s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.948s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[1.970s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.4ms
[1.970s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.2ms
[1.970s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 21.3ms
[1.970s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.8ms
[1.970s][info][gc,phases   ] GC(10)   Other: 0.1ms
[1.970s][info][gc,heap     ] GC(10) Eden regions: 215->0(258)
[1.970s][info][gc,heap     ] GC(10) Survivor regions: 25->30(30)
[1.971s][info][gc,heap     ] GC(10) Old regions: 146->182
[1.971s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[1.971s][info][gc,metaspace] GC(10) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[1.971s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 770M->422M(2048M) 23.021ms
[1.971s][info][gc,cpu      ] GC(10) User=0.05s Sys=0.03s Real=0.02s
[2.276s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2.276s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2.302s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.3ms
[2.302s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.2ms
[2.302s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 23.9ms
[2.302s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 1.0ms
[2.302s][info][gc,phases   ] GC(11)   Other: 0.1ms
[2.302s][info][gc,heap     ] GC(11) Eden regions: 258->0(301)
[2.302s][info][gc,heap     ] GC(11) Survivor regions: 30->36(36)
[2.302s][info][gc,heap     ] GC(11) Old regions: 182->227
[2.302s][info][gc,heap     ] GC(11) Humongous regions: 1->0
[2.302s][info][gc,metaspace] GC(11) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[2.302s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 940M->524M(2130M) 25.712ms
[2.302s][info][gc,cpu      ] GC(11) User=0.08s Sys=0.06s Real=0.03s
[2.675s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2.675s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2.702s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.4ms
[2.702s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.1ms
[2.702s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 25.4ms
[2.702s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.8ms
[2.702s][info][gc,phases   ] GC(12)   Other: 0.1ms
[2.702s][info][gc,heap     ] GC(12) Eden regions: 301->0(362)
[2.702s][info][gc,heap     ] GC(12) Survivor regions: 36->43(43)
[2.702s][info][gc,heap     ] GC(12) Old regions: 227->279
[2.702s][info][gc,heap     ] GC(12) Humongous regions: 3->0
[2.702s][info][gc,metaspace] GC(12) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
[2.702s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1132M->643M(2130M) 27.011ms
[2.702s][info][gc,cpu      ] GC(12) User=0.03s Sys=0.12s Real=0.03s
[3.137s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[3.137s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[3.174s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.4ms
[3.174s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.2ms
[3.174s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 35.1ms
[3.174s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.9ms
[3.174s][info][gc,phases   ] GC(13)   Other: 0.1ms
[3.174s][info][gc,heap     ] GC(13) Eden regions: 362->0(405)
[3.174s][info][gc,heap     ] GC(13) Survivor regions: 43->51(51)
[3.174s][info][gc,heap     ] GC(13) Old regions: 279->343
[3.174s][info][gc,heap     ] GC(13) Humongous regions: 9->0
[3.174s][info][gc,metaspace] GC(13) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[3.174s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1385M->787M(2130M) 36.882ms
[3.174s][info][gc,cpu      ] GC(13) User=0.05s Sys=0.08s Real=0.04s
[3.645s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[3.645s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[3.687s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.4ms
[3.687s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.2ms
[3.688s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 40.4ms
[3.688s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.8ms
[3.688s][info][gc,phases   ] GC(14)   Other: 0.1ms
[3.688s][info][gc,heap     ] GC(14) Eden regions: 405->0(379)
[3.688s][info][gc,heap     ] GC(14) Survivor regions: 51->57(57)
[3.688s][info][gc,heap     ] GC(14) Old regions: 343->417
[3.688s][info][gc,heap     ] GC(14) Humongous regions: 3->0
[3.688s][info][gc,metaspace] GC(14) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[3.688s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1603M->947M(2130M) 42.979ms
[3.688s][info][gc,cpu      ] GC(14) User=0.11s Sys=0.28s Real=0.04s
[4.117s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[4.117s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[4.148s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.4ms
[4.148s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.2ms
[4.148s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 28.5ms
[4.148s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.9ms
[4.148s][info][gc,phases   ] GC(15)   Other: 0.1ms
[4.148s][info][gc,heap     ] GC(15) Eden regions: 379->0(341)
[4.148s][info][gc,heap     ] GC(15) Survivor regions: 57->55(55)
[4.148s][info][gc,heap     ] GC(15) Old regions: 417->495
[4.148s][info][gc,heap     ] GC(15) Humongous regions: 2->0
[4.148s][info][gc,metaspace] GC(15) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[4.148s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1709M->1098M(2130M) 30.297ms
[4.148s][info][gc,cpu      ] GC(15) User=0.05s Sys=0.11s Real=0.03s
[4.520s][info][gc,start    ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[4.520s][info][gc,task     ] GC(16) Using 10 workers of 10 for evacuation
[4.547s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.5ms
[4.547s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.2ms
[4.547s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 25.6ms
[4.547s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 0.9ms
[4.547s][info][gc,phases   ] GC(16)   Other: 0.2ms
[4.547s][info][gc,heap     ] GC(16) Eden regions: 326->0(304)
[4.547s][info][gc,heap     ] GC(16) Survivor regions: 55->50(50)
[4.547s][info][gc,heap     ] GC(16) Old regions: 495->564
[4.547s][info][gc,heap     ] GC(16) Humongous regions: 0->0
[4.547s][info][gc,metaspace] GC(16) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[4.547s][info][gc          ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1749M->1227M(2130M) 27.581ms
[4.547s][info][gc,cpu      ] GC(16) User=0.09s Sys=0.06s Real=0.03s
[4.548s][info][gc          ] GC(17) Concurrent Mark Cycle
[4.548s][info][gc,marking  ] GC(17) Concurrent Scan Root Regions
[4.549s][info][gc,marking  ] GC(17) Concurrent Scan Root Regions 1.884ms
[4.549s][info][gc,marking  ] GC(17) Concurrent Mark
[4.549s][info][gc,marking  ] GC(17) Concurrent Mark From Roots
[4.550s][info][gc,task     ] GC(17) Using 3 workers of 3 for marking
[4.555s][info][gc,marking  ] GC(17) Concurrent Mark From Roots 5.718ms
[4.555s][info][gc,marking  ] GC(17) Concurrent Preclean
[4.555s][info][gc,marking  ] GC(17) Concurrent Preclean 0.019ms
[4.555s][info][gc,start    ] GC(17) Pause Remark
[4.557s][info][gc          ] GC(17) Pause Remark 1239M->1239M(2130M) 1.837ms
[4.557s][info][gc,cpu      ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[4.557s][info][gc,marking  ] GC(17) Concurrent Mark 7.807ms
[4.557s][info][gc,marking  ] GC(17) Concurrent Rebuild Remembered Sets and Scrub Regions
[4.559s][info][gc,marking  ] GC(17) Concurrent Rebuild Remembered Sets and Scrub Regions 1.199ms
[4.559s][info][gc,start    ] GC(17) Pause Cleanup
[4.559s][info][gc          ] GC(17) Pause Cleanup 1241M->1241M(2130M) 0.307ms
[4.559s][info][gc,cpu      ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[4.559s][info][gc,marking  ] GC(17) Concurrent Clear Claimed Marks
[4.559s][info][gc,marking  ] GC(17) Concurrent Clear Claimed Marks 0.029ms
[4.559s][info][gc,marking  ] GC(17) Concurrent Cleanup for Next Mark
[4.564s][info][gc,marking  ] GC(17) Concurrent Cleanup for Next Mark 4.543ms
[4.564s][info][gc          ] GC(17) Concurrent Mark Cycle 16.216ms
[4.900s][info][gc,start    ] GC(18) Pause Young (Prepare Mixed) (G1 Evacuation Pause)
[4.900s][info][gc,task     ] GC(18) Using 10 workers of 10 for evacuation
[4.926s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.3ms
[4.926s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.2ms
[4.926s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 24.5ms
[4.926s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 1.0ms
[4.926s][info][gc,phases   ] GC(18)   Other: 0.1ms
[4.926s][info][gc,heap     ] GC(18) Eden regions: 304->0(262)
[4.926s][info][gc,heap     ] GC(18) Survivor regions: 50->45(45)
[4.926s][info][gc,heap     ] GC(18) Old regions: 564->630
[4.926s][info][gc,heap     ] GC(18) Humongous regions: 5->0
[4.926s][info][gc,metaspace] GC(18) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[4.926s][info][gc          ] GC(18) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 1845M->1349M(2130M) 26.497ms
[4.926s][info][gc,cpu      ] GC(18) User=0.14s Sys=0.00s Real=0.03s
[5.226s][info][gc,start    ] GC(19) Pause Young (Mixed) (G1 Evacuation Pause)
[5.226s][info][gc,task     ] GC(19) Using 10 workers of 10 for evacuation
[5.249s][info][gc,phases   ] GC(19)   Pre Evacuate Collection Set: 0.4ms
[5.249s][info][gc,phases   ] GC(19)   Merge Heap Roots: 0.2ms
[5.249s][info][gc,phases   ] GC(19)   Evacuate Collection Set: 20.9ms
[5.249s][info][gc,phases   ] GC(19)   Post Evacuate Collection Set: 1.0ms
[5.249s][info][gc,phases   ] GC(19)   Other: 0.1ms
[5.249s][info][gc,heap     ] GC(19) Eden regions: 262->0(227)
[5.249s][info][gc,heap     ] GC(19) Survivor regions: 45->39(39)
[5.249s][info][gc,heap     ] GC(19) Old regions: 630->687
[5.249s][info][gc,heap     ] GC(19) Humongous regions: 2->0
[5.249s][info][gc,metaspace] GC(19) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[5.249s][info][gc          ] GC(19) Pause Young (Mixed) (G1 Evacuation Pause) 1877M->1450M(2130M) 22.872ms
[5.249s][info][gc,cpu      ] GC(19) User=0.14s Sys=0.00s Real=0.02s
[5.468s][info][gc,start    ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[5.468s][info][gc,task     ] GC(20) Using 10 workers of 10 for evacuation
[5.486s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.4ms
[5.486s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.1ms
[5.486s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 15.8ms
[5.486s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 0.8ms
[5.486s][info][gc,phases   ] GC(20)   Other: 0.2ms
[5.486s][info][gc,heap     ] GC(20) Eden regions: 187->0(203)
[5.486s][info][gc,heap     ] GC(20) Survivor regions: 39->34(34)
[5.486s][info][gc,heap     ] GC(20) Old regions: 687->729
[5.486s][info][gc,heap     ] GC(20) Humongous regions: 0->0
[5.486s][info][gc,metaspace] GC(20) Metaspace: 1298K(1472K)->1298K(1472K) NonClass: 1202K(1280K)->1202K(1280K) Class: 96K(192K)->96K(192K)
[5.486s][info][gc          ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1824M->1524M(2130M) 17.584ms
[5.486s][info][gc,cpu      ] GC(20) User=0.02s Sys=0.00s Real=0.02s
[5.486s][info][gc          ] GC(21) Concurrent Mark Cycle
[5.486s][info][gc,marking  ] GC(21) Concurrent Scan Root Regions
[5.486s][info][gc,marking  ] GC(21) Concurrent Scan Root Regions 0.322ms
[5.486s][info][gc,marking  ] GC(21) Concurrent Mark
[5.486s][info][gc,marking  ] GC(21) Concurrent Mark From Roots
[5.486s][info][gc,task     ] GC(21) Using 3 workers of 3 for marking
[5.491s][info][gc,marking  ] GC(21) Concurrent Mark From Roots 4.462ms
[5.491s][info][gc,marking  ] GC(21) Concurrent Preclean
[5.491s][info][gc,marking  ] GC(21) Concurrent Preclean 0.022ms
[5.491s][info][gc,start    ] GC(21) Pause Remark
